priority_rank,content_id,client_id,priority_score,recommended_action,reason_codes,search_volume,impressions_90d,clicks_90d,trend_pct,days_since_last_update,word_count,content_age_days
1,content_c8e9d6ab9013,client_19581e27de,1.0,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",20.0,208678,0,-43.4,104,,362
2,content_39881853ef0c,client_f369cb89fc,0.9999999998202205,Investigate and refresh,"DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",170.0,112434,10,-42.0,20,2810.0,97
3,content_453722754fea,client_f369cb89fc,0.9999999853510515,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",10.0,140079,16,-52.9,20,2700.0,97
4,content_54baba704595,client_6208ef0f77,0.9999999760129307,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,130617,8,-54.8,104,5813.0,286
5,content_fb4bf6555c79,client_6208ef0f77,0.9999999615748215,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,84093,3,-83.0,104,6681.0,299
6,content_e752a4e03dd3,client_6208ef0f77,0.9999999362882918,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,130892,15,-52.7,104,6442.0,287
7,content_109f8f7c9d39,client_6208ef0f77,0.9999997285576017,Freshness review,"STALE, VISIBLE, MULTIPLE_SIGNALS",0.0,90476,6,126.8,104,7295.0,299
8,content_65114d89496d,client_19581e27de,0.999999569433121,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,72631,12,-74.8,22,,482
9,content_e5f459e737b7,client_f369cb89fc,0.999997418583463,Investigate and refresh,"DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",30.0,56363,3,-27.2,20,2916.0,147
10,content_6e28a04c07a8,client_6208ef0f77,0.9999774660481329,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,41226,2,-39.0,104,6367.0,139
11,content_a7c2dfc8a6ec,client_7f2253d7e2,0.9999736002109564,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,76868,8,-77.4,20,3723.0,141
12,content_5096a9d25fe5,client_6208ef0f77,0.9999650432926385,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",10.0,49158,4,-56.9,104,7180.0,300
13,content_5daaf566b54c,client_6208ef0f77,0.9999385862995004,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,50013,5,-55.9,104,8139.0,286
14,content_20e876d26019,client_7f2253d7e2,0.9995150315708055,Investigate and refresh,"DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",1300.0,59949,11,-94.0,20,4346.0,224
15,content_bc18d49d8f6b,client_6208ef0f77,0.9994427412112477,Freshness review,"STALE, VISIBLE, MULTIPLE_SIGNALS",0.0,32491,1,3.2,104,7043.0,287
16,content_df71843dcd17,client_8527a891e2,0.9993520105909867,Optimization review,"HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",30.0,27334,0,44.1,103,1329.0,237
17,content_21b3d827d451,client_3fdba35f04,0.9989613912375589,Investigate and refresh,"DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",50.0,38894,4,-79.4,14,2593.0,165
18,content_39b6f6812582,client_6208ef0f77,0.9985556145192818,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,28972,1,-53.1,20,3441.0,111
19,content_75175d878762,client_6208ef0f77,0.9983915188191298,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,25748,1,-44.9,104,5335.0,299
20,content_095661034f9b,client_6208ef0f77,0.998238276879493,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,23513,1,-91.6,104,5633.0,287
21,content_f986bd514b6e,client_7f2253d7e2,0.9969823789379265,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,22456,1,-60.3,20,3803.0,172
22,content_d274ac4158ef,client_4e07408562,0.9968261344903743,Investigate and refresh,"DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",40.0,65138,6,-11.8,26,1428.0,327
23,content_8b1eeb87a7c5,client_6208ef0f77,0.9965428249890308,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",10.0,26142,3,-78.8,104,5833.0,312
24,content_72fdb385e810,client_19581e27de,0.9964992448195117,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,19360,1,-11.8,104,,236
25,content_013a5d3dfc26,client_6208ef0f77,0.9960989623114611,Freshness review,"STALE, VISIBLE, MULTIPLE_SIGNALS",0.0,65652,9,8.7,104,4540.0,148
26,content_09e76bfc75d9,client_19581e27de,0.9956369299805808,Investigate and refresh,"DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",140.0,15906,1,-68.3,22,,466
27,content_ae6d1339904d,client_7f2253d7e2,0.9946687802641848,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,17622,0,-74.0,20,3612.0,141
28,content_ca17a024f90c,client_4e07408562,0.9922043679351136,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,38815,4,-56.8,7,2605.0,228
29,content_92beec70c9ff,client_7f2253d7e2,0.9900918399019607,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,15497,0,-80.0,20,3529.0,141
30,content_88aa778b4b07,client_7f2253d7e2,0.98981325187206,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,26755,4,-87.4,20,4537.0,132
31,content_94058fab0b5b,client_6208ef0f77,0.9869860325032405,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,54754,8,-56.5,104,6962.0,299
32,content_16d67f7f1084,client_7f2253d7e2,0.9864345694325307,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,19191,2,-84.5,20,4153.0,141
33,content_05133844bff4,client_19581e27de,0.9863767534906728,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",10.0,14803,0,-0.4,22,,482
34,content_825a9788af8d,client_4e07408562,0.9853688954553821,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",210.0,16786,0,-34.9,104,,421
35,content_deb54e9e19cd,client_3fdba35f04,0.985316700333765,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",60500.0,4560,0,-2.5,104,,463
36,content_eb1510f4b5f1,client_3fdba35f04,0.98405595090186,Optimization review,"HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",33100.0,12275,0,5.9,41,,463
37,content_1b5618af1d3a,client_8722616204,0.983352606518629,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,4,0,,104,6597.0,145
38,content_dd635253d90e,client_6208ef0f77,0.9829691368073257,Freshness review,"STALE, VISIBLE, MULTIPLE_SIGNALS",0.0,33286,5,155.0,104,5359.0,139
39,content_12e48d4b449d,client_8527a891e2,0.9827750592802756,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",27100.0,10,0,-100.0,20,3579.0,348
40,content_2c887475bc3a,client_8722616204,0.9826230496118171,Freshness review,STALE,10.0,2,0,,104,7423.0,145
41,content_71f8734aebe2,client_8722616204,0.9821581313568847,Monitor,HIGH_DEMAND,27100.0,1,0,,8,3213.0,109
42,content_87b71326c01a,client_349c41201b,0.9819941300674556,Content review,"DECLINING, VISIBLE, MULTIPLE_SIGNALS",10.0,7318,2,-23.0,8,5144.0,140
43,content_11d5bb2a5e03,client_6208ef0f77,0.9817914187602831,Monitor,HIGH_DEMAND,20.0,3,0,,20,7007.0,300
44,content_e25886a96f6c,client_e29c9c180c,0.9806344111680422,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",50.0,4,0,-100.0,144,6072.0,231
45,content_157c77771aba,client_25fc0e7096,0.9804224524305858,Monitor,REVIEW,,3,0,,8,6372.0,117
46,content_8ba781dafa55,client_8527a891e2,0.9803698110932277,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",2900.0,16156,0,-85.6,104,3343.0,348
47,content_427ad77dfb96,client_e29c9c180c,0.9800117738422153,Freshness review,STALE,10.0,2,0,,104,6268.0,230
48,content_d76b5adc47d1,client_e29c9c180c,0.9793982475323266,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",30.0,2,0,,144,5725.0,231
49,content_294856f557d8,client_e29c9c180c,0.979285347722563,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",10.0,7,0,-60.0,104,6450.0,225
50,content_214fd3d0206d,client_8722616204,0.9790978455503051,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",30.0,2,0,,104,5543.0,140
